snapshot,total_gen_no1,total_gen_ost1,total_gen_west1
2024-01-01 00:00:00,25.5,4.0,5.5
2024-01-01 01:00:00,24.5,3.0,6.5
2024-01-01 02:00:00,25.5,3.0,5.5
2024-01-01 03:00:00,24.5,2.0,6.5
2024-01-01 04:00:00,24.0,6.0,7.0
2024-01-01 05:00:00,22.5,11.0,8.5
2024-01-01 06:00:00,23.5,15.0,7.5
2024-01-01 07:00:00,23.5,19.0,8.5
2024-01-01 08:00:00,27.0,19.0,10.0
2024-01-01 09:00:00,27.5,19.0,12.5
2024-01-01 10:00:00,26.5,19.0,14.5
2024-01-01 11:00:00,26.0,19.0,13.0
2024-01-01 12:00:00,16.5,19.0,24.5
2024-01-01 13:00:00,16.5,19.0,24.5
2024-01-01 14:00:00,16.5,19.0,24.5
2024-01-01 15:00:00,24.5,19.0,16.5
2024-01-01 16:00:00,24.5,19.0,16.5
2024-01-01 17:00:00,20.5,19.0,18.5
2024-01-01 18:00:00,23.5,19.0,14.5
2024-01-01 19:00:00,25.5,19.0,14.5
2024-01-01 20:00:00,26.0,19.0,11.0
2024-01-01 21:00:00,25.0,19.0,8.0
2024-01-01 22:00:00,24.0,14.0,7.0
2024-01-01 23:00:00,23.5,9.0,7.5
